itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,collected_at
069500,1,KODEX 200,114340,2,6200,5.73,114437.0,12.0718,8174969,933844,257437,2026-07-22 11:29:41
360750,4,TIGER 미국S&P500,27590,2,220,0.8,27611.0,5.4697,16865689,464990,201600,2026-07-22 11:29:41
133690,4,TIGER 미국나스닥100,190900,2,1990,1.05,191292.0,8.8,606237,115706,114235,2026-07-22 11:29:41
102110,1,TIGER 200,114430,2,6320,5.85,114501.0,11.9017,1110298,126834,105619,2026-07-22 11:29:41
396500,2,TIGER 반도체TOP10,39155,2,2095,5.65,39148.0,-0.7749,6891502,271375,102077,2026-07-22 11:29:41
379800,4,KODEX 미국S&P500,25155,2,205,0.82,25174.0,5.4477,10079020,253322,100872,2026-07-22 11:29:41
379810,4,KODEX 미국나스닥100,28600,2,305,1.08,28651.0,8.8835,1147857,32824,90119,2026-07-22 11:29:41
278530,1,KODEX 200TR,41305,2,2300,5.9,41351.0,11.7141,747355,30850,79430,2026-07-22 11:29:41
488770,7,KODEX 머니마켓액티브,104992,2,7,0.01,105001.0,0.8162,352844,37045,77003,2026-07-22 11:29:41
459580,6,KODEX CD금리액티브(합성),1075262,2,82,0.01,1075301.0,0.7088,226111,243128,67820,2026-07-22 11:29:41
122630,3,KODEX 레버리지,131615,2,13550,11.48,131954.0,9.0468,6815852,894154,66400,2026-07-22 11:29:41
381180,4,TIGER 미국필라델피아반도체나스닥,47625,2,1115,2.4,47742.0,24.9821,1069810,51154,63794,2026-07-22 11:29:41
0167A0,2,SOL AI반도체TOP2플러스,19335,2,1035,5.66,19336.0,38.5314,9267098,180751,62259,2026-07-22 11:29:41
091160,2,KODEX 반도체,135300,2,7275,5.68,135288.0,10.7874,721867,98464,59464,2026-07-22 11:29:41
498400,2,KODEX 200타겟위클리커버드콜,21860,2,1175,5.68,21928.0,9.7981,3211416,70133,59088,2026-07-22 11:29:41
310970,1,TIGER MSCI Korea TR,51085,2,2770,5.73,51150.0,13.9504,6573,335,46385,2026-07-22 11:29:41
148020,1,RISE 200,115030,2,6055,5.56,115175.0,12.0025,411492,47264,46012,2026-07-22 11:29:41
395160,2,KODEX AI반도체TOP2플러스,43870,2,2705,6.57,43851.0,32.2884,3363750,148539,42993,2026-07-22 11:29:41
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13855,2,445,3.32,13861.0,19.5167,4890100,67730,42507,2026-07-22 11:29:41
0193T0,2,KODEX SK하이닉스단일종목레버리지,16665,2,2260,15.69,16664.0,,96788061,1614061,41912,2026-07-22 11:29:41
229200,1,KODEX 코스닥150,13010,2,360,2.85,13038.0,-36.3543,13501967,176907,41580,2026-07-22 11:29:41
458730,4,TIGER 미국배당다우존스,15435,2,75,0.49,15428.0,6.6204,676526,10436,41350,2026-07-22 11:29:41
360200,4,ACE 미국S&P500,27890,2,235,0.85,27911.0,5.4105,214322,5973,41249,2026-07-22 11:29:41
411060,5,ACE KRX금현물,27205,2,570,2.14,27323.0,-15.5785,293344,7935,40182,2026-07-22 11:29:41
395270,2,HANARO Fn K-반도체,61875,2,3690,6.34,61869.0,34.3148,828007,51614,39414,2026-07-22 11:29:41
381170,4,TIGER 미국테크TOP10 INDXX,32275,2,190,0.59,32353.0,1.2943,192533,6212,39376,2026-07-22 11:29:41
273130,6,KODEX 종합채권(AA-이상)액티브,109265,5,-175,-0.16,109327.0,-3.7341,3936,430,36854,2026-07-22 11:29:41
367380,4,ACE 미국나스닥100,32820,2,345,1.06,32886.0,8.8089,250169,8210,36299,2026-07-22 11:29:41
357870,6,TIGER CD금리투자KIS(합성),57787,2,2,0.0,57789.0,0.7058,87324,5046,35909,2026-07-22 11:29:41
423160,6,KODEX KOFR금리액티브(합성),110820,2,10,0.01,110813.0,0.6523,31297,3468,35739,2026-07-22 11:29:41
102780,2,KODEX 삼성그룹,26235,2,1380,5.55,26252.0,11.7629,436983,11472,34473,2026-07-22 11:29:41
487240,2,KODEX AI전력핵심설비,35375,2,2275,6.87,35434.0,-14.2872,1484258,51719,30104,2026-07-22 11:29:41
0043B0,6,TIGER 머니마켓액티브,103087,2,12,0.01,103084.0,0.8167,55585,5730,29463,2026-07-22 11:29:41
139260,2,TIGER 200 IT,148300,2,8230,5.88,148352.0,31.9561,270218,40343,28859,2026-07-22 11:29:41
233740,3,KODEX 코스닥150레버리지,6390,2,330,5.45,6402.0,-63.6691,47005859,304795,27630,2026-07-22 11:29:41
455890,6,RISE 머니마켓액티브,55260,3,0,0.0,55261.0,0.7658,115578,6386,27134,2026-07-22 11:29:41
481050,6,KODEX CD1년금리플러스액티브(합성),1023375,2,90,0.01,1023402.0,0.7282,9253,9469,26761,2026-07-22 11:29:41
0195S0,2,TIGER SK하이닉스단일종목레버리지,14070,2,1985,16.43,14058.0,,47105861,663246,26040,2026-07-22 11:29:41
426030,4,TIME 미국나스닥100액티브,50200,2,1805,3.73,50057.0,8.0848,352156,17752,25903,2026-07-22 11:29:41
278540,1,KODEX MSCI Korea TR,40675,2,2230,5.8,40716.0,13.5578,16091,655,24812,2026-07-22 11:29:41
0193W0,2,KODEX 삼성전자단일종목레버리지,15020,2,1470,10.85,15040.0,,29219503,436602,24625,2026-07-22 11:29:41
161510,2,PLUS 고배당주,25145,2,495,2.01,25162.0,-9.5991,290622,7301,23619,2026-07-22 11:29:41
456600,4,TIME 글로벌AI인공지능액티브,62810,2,1920,3.15,62780.0,18.9722,174029,10968,23579,2026-07-22 11:29:41
449170,6,TIGER KOFR금리액티브(합성),111395,2,5,0.0,111397.0,0.6323,32258,3593,23575,2026-07-22 11:29:41
472150,2,TIGER 배당커버드콜액티브,22275,2,1185,5.62,22272.0,12.4532,2199102,48879,22649,2026-07-22 11:29:41
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,11400,2,100,0.88,11417.0,8.2961,883395,10072,22082,2026-07-22 11:29:41
284430,6,KODEX 200미국채혼합50,22025,2,640,2.99,22040.0,2.9648,463677,10202,21796,2026-07-22 11:29:41
292150,2,TIGER 코리아TOP10,40140,2,2070,5.44,40142.0,11.9922,337445,13518,21595,2026-07-22 11:29:41
385540,6,RISE 종합채권(A-이상)액티브,102265,5,-240,-0.23,102283.0,-3.6653,102,10,21181,2026-07-22 11:29:41
442580,4,PLUS 글로벌HBM반도체,112665,2,6745,6.37,111949.0,48.0348,361595,40839,19187,2026-07-22 11:29:41
294400,1,KIWOOM 200TR,149300,2,7485,5.28,149828.0,12.12,77778,11625,19110,2026-07-22 11:29:41
214980,6,KODEX 단기채권PLUS,114470,2,5,0.0,114508.0,0.4897,13606,1557,18951,2026-07-22 11:29:41
105190,1,ACE 200,114525,2,6350,5.87,114660.0,11.5139,137520,15724,18897,2026-07-22 11:29:41
446770,4,ACE 글로벌반도체TOP4 Plus,85830,2,2530,3.04,86287.0,25.4494,127336,10973,17595,2026-07-22 11:29:41
487230,4,KODEX 미국AI전력핵심인프라,23330,2,790,3.5,23227.0,-4.4557,472451,11017,17451,2026-07-22 11:29:41
441640,4,KODEX 미국배당커버드콜액티브,13125,2,65,0.5,13137.0,2.7532,412704,5414,16767,2026-07-22 11:29:41
368590,4,RISE 미국나스닥100,31790,2,340,1.08,31852.0,8.9133,95725,3043,15800,2026-07-22 11:29:41
379780,4,RISE 미국S&P500,24055,2,210,0.88,24075.0,5.5566,68551,1648,15540,2026-07-22 11:29:41
453850,6,ACE 미국30년국채액티브(H),7290,5,-25,-0.34,7290.0,-2.334,436049,3176,15426,2026-07-22 11:29:41
466920,2,SOL 조선TOP3플러스,28315,2,1335,4.95,28329.0,-28.8029,725664,20302,15262,2026-07-22 11:29:41
152100,1,PLUS 200,116050,2,6455,5.89,116127.0,11.7364,50540,5858,15203,2026-07-22 11:29:41
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14600,2,475,3.36,14599.0,18.751,2428117,35450,15126,2026-07-22 11:29:41
475630,7,TIGER CD1년금리액티브(합성),1072125,2,90,0.01,1072123.0,0.7343,15710,16843,15062,2026-07-22 11:29:41
477080,6,RISE CD금리액티브(합성),107115,2,15,0.01,107111.0,0.7004,1252,134,14985,2026-07-22 11:29:41
305720,2,KODEX 2차전지산업,13250,2,460,3.6,13264.0,-39.5137,1053155,13921,14893,2026-07-22 11:29:41
315930,2,KODEX Top5PlusTR,85550,2,4050,4.97,85619.0,17.1481,22550,1927,14886,2026-07-22 11:29:41
329200,2,TIGER 리츠부동산인프라,4025,2,15,0.37,4018.0,-15.5969,1178958,4734,14784,2026-07-22 11:29:41
091230,2,TIGER 반도체,141935,2,7415,5.51,142187.0,10.4381,142267,20374,14477,2026-07-22 11:29:41
